VehicleNumber,Line,Brigade,Stop,DiffTime,DiffDist,BusLat,BusLon
1907,106,3,7015_04,58,0.005261943183608568,52.2379779,21.0057536
1907,106,3,7025_04,51,0.009840752762154304,52.237221,21.0018567
1907,106,3,7087_02,39,0.003250434877174917,52.235775,20.995669
1907,106,3,5036_02,66,0.007076943211469207,52.2344994,20.9892599
1907,106,3,5095_02,29,0.008946940989333203,52.2327844,20.9790115
2259,187,10,4211_02,332,0.009879673830570802,52.191631,20.861301
2259,187,10,4221_06,31,0.009999509238276968,52.190945,20.862028
3429,102,547,2109_03,524,0.0069056043459282184,52.2463546,21.1046595
3429,102,547,2002_01,2559,0.008800657865594853,52.2474266,21.0512653
4209,149,04,5034_02,18,0.003343913234440243,52.239193,20.911489
4209,149,04,5035_02,3483,0.0034844786581543045,52.239166,20.905645
4209,149,04,5050_02,3491,0.0034550781002423846,52.240505,20.896936
4209,149,04,5051_02,3545,0.0032022559477769825,52.242725,20.897062
4209,149,04,5052_02,2574,0.005728854449296749,52.247929,20.89801
4209,149,04,5163_01,28,0.005132985767710057,52.248753,20.898058
4209,149,04,5163_04,12,0.0032795134764222324,52.249382,20.897352
4209,149,04,5093_02,19,0.0017346616632524727,52.249813,20.893702
4209,149,04,5079_02,30,0.002385201284035466,52.250614,20.889263
4209,149,04,5082_02,49,0.0063659549052784105,52.250835,20.875275
4209,149,04,5136_01,35,0.003706192245631748,52.249413,20.869499
4209,149,04,5083_01,148,0.005976929936616092,52.248264,20.878632
4209,149,04,5080_01,124,0.0018881502560752232,52.251423,20.883945
4209,149,04,5079_01,65,0.00241618645195011,52.250332,20.890593
4209,149,04,5093_01,76,0.0009531788637322975,52.249622,20.895185
4209,149,04,5052_01,66,0.006028795447776203,52.245953,20.897652
4209,149,04,5051_01,24,0.00323090808932915,52.24168,20.896618
4209,149,04,5050_03,3523,0.00441285538876061,52.239426,20.897633
4209,149,04,5035_01,3514,0.002930359090154286,52.238838,20.9056
4309,153,04,2220_01,3,0.005926043700211979,52.2768864,21.1703814
4309,153,04,2095_01,2313,0.004243903902674044,52.27457,21.1622295
4309,153,04,2094_01,2327,0.0002866309197173645,52.2732752,21.1583492
4309,153,04,2093_01,2252,0.006937326822086254,52.2718664,21.1541699
4309,153,04,2092_01,2225,0.0031875834244641478,52.2698757,21.1509047
4309,153,04,2091_01,2225,0.009180457764240748,52.2678752,21.1532036
4309,153,04,2090_01,2168,0.0029611505619103135,52.2632334,21.1572185
4309,153,04,2441_01,2163,0.004319584646179268,52.2605144,21.1602856
4309,153,04,2083_01,2138,0.001371210748046387,52.2588847,21.1610389
4309,153,04,2070_08,2113,0.004689165949695866,52.2573506,21.160452
4309,153,04,2086_02,17,0.006365733973207638,52.2568944,21.1770779
4309,153,04,2084_01,3,0.0063943620518728565,52.2571122,21.1663652
4309,153,04,2070_06,2327,0.005890730025368888,52.2578459,21.1597071
4309,153,04,2083_02,2318,0.00992612276995841,52.2592787,21.1618747
4309,153,04,2090_02,2315,0.00785067653706393,52.2637627,21.1568599
4309,153,04,2091_02,1210,0.0068312956036934245,52.2677762,21.1533544
4309,153,04,2092_02,2295,0.003552150911554368,52.2702509,21.1504817
4309,153,04,2093_02,2309,0.008225088947450034,52.271637,21.1535774
4309,153,04,2094_02,2322,0.007507942454552613,52.2731324,21.1580459
4309,153,04,2220_05,451,0.006857880076607787,52.2767381,21.1690802
4309,153,04,2085_02,2189,0.005915931167047383,52.2568662,21.1727376
4316,147,1,2217_01,1962,0.006246371033351825,52.2009234,21.1496251
4316,147,1,2218_01,1753,0.0047305163432732255,52.2029934,21.1590292
4338,255,3,5205_01,2562,0.0037696716670519875,52.2223546,20.937652
4338,255,3,5204_01,2166,0.003346722281635432,52.2237087,20.9419599
4338,255,3,5044_06,891,0.008504579402828276,52.2263732,20.951009
4338,255,3,5044_01,2370,0.004258579310688798,52.2274881,20.9527712
4338,255,3,5042_01,2375,0.008031060296026233,52.2286262,20.9704809
4338,255,3,5040_02,2424,0.006133418100794626,52.2301853,20.9823606
4338,255,3,5041_02,2452,0.0033928307795062494,52.229605,20.9790196
4338,255,3,5042_02,2496,0.006141699703473531,52.2288136,20.9682824
4338,255,3,5043_02,2484,0.007076412220293717,52.2280322,20.9561899
4338,255,3,5203_02,2181,0.004632656971181662,52.224964,20.9457896
4338,255,3,5205_52,2139,0.005889748706969485,52.2224867,20.9378642
4338,255,3,5021_06,2117,0.008852379376708155,52.2238875,20.9297135
4338,255,3,5011_10,2290,0.003480727687660839,52.2253215,20.9310165
4338,255,3,5010_53,2244,0.006197474146158738,52.224078,20.9364992
5232,188,1,4040_71,41,0.005622517476718064,52.1694463,20.978323
5232,188,1,4201_02,56,0.009519824052892019,52.170701,20.973913
5232,188,1,4202_02,25,0.002024619342089498,52.1680824,20.9752141
5232,188,1,4203_02,15,0.003615320173623213,52.1697535,20.9791976
5232,188,1,4037_02,45,0.004789328418059523,52.1840844,20.9792919
5232,188,1,4036_02,5,0.007728231288922907,52.1889107,20.9809197
5232,188,1,4034_02,5,0.003913611478292047,52.1960043,20.9833338
5232,188,1,4030_02,35,0.0027496567176496243,52.2109848,20.9884408
5431,738,1,1238_02,28,0.006579786388074996,52.3267,21.1082
5431,738,1,1457_01,1033,0.0018866325426352614,52.413788,21.192232
5431,738,1,1680_01,19,0.002834049828807032,52.403538,21.195957
5433,511,06,1022_02,3448,0.002997197146098364,52.331997,20.96534
5433,511,06,1023_02,3453,0.0022531551818915922,52.335594,20.961086
5433,511,06,1025_02,3430,0.004131857046286351,52.344231,20.951324
5433,511,06,1317_02,29,0.004436038667569259,52.348675,20.942799
5433,511,06,1025_01,3462,0.004069597630338515,52.343147,20.951736
5433,511,06,1947_11,3485,0.007258234432963653,52.34166,20.953426
5433,511,06,1023_01,3473,0.008923053562492329,52.334118,20.962269
5433,511,06,1022_01,3438,0.003329202178465517,52.330799,20.965813
5433,511,06,1019_03,3352,0.005141557757888028,52.315754,20.97319
5433,511,06,6059_18,462,0.00443520682975585,52.291313,20.928043
5433,511,06,6059_03,3532,0.0071445704647336615,52.291504,20.930853
5433,511,06,1019_02,3378,0.008624057524447788,52.317211,20.975227
5434,111,011,7003_01,162,0.005359012472622908,52.234772,21.035856
5434,111,011,2138_01,90,0.009352843639339695,52.237247,21.05724
5434,111,011,2139_01,127,0.009356742693117065,52.2349846,21.0595977
